car_name;from;mpg;cylinders;horsepower;weight;acceleration
Datsun 200Sx;(1981, Japan);32.9 mpg;4;100;2,615;14.8
Mazda 626;(1981, Japan);31.6 mpg;4;74;2,635;18.3
Peugeot 505S Turbo Diesel;(1981, Europe);28.1 mpg;4;80;3,230;20.4
Saab 900S;(1981, Europe);- mpg;4;110;2,800;15.4
Volvo Diesel;(1981, Europe);30.7 mpg;6;76;3,160;19.6
Toyota Cressida;(1981, Japan);25.4 mpg;6;116;2,900;12.6
Datsun 810 Maxima;(1981, Japan);24.2 mpg;6;120;2,930;13.8
Buick Century;(1981, USA);22.4 mpg;6;110;3,415;15.8
Oldsmobile Cutlass Ls;(1981, USA);26.6 mpg;8;105;3,725;19.0
Ford Granada Gl;(1981, USA);20.2 mpg;6;88;3,060;17.1
Chrysler Lebaron Salon;(1981, USA);17.6 mpg;6;85;3,465;16.6
Chevrolet Cavalier;(1982, USA);28.0 mpg;4;88;2,605;19.6
Chevrolet Cavalier Wagon;(1982, USA);27.0 mpg;4;88;2,640;18.6
Chevrolet Cavalier 2-Door;(1982, USA);34.0 mpg;4;88;2,395;18.0
Pontiac J2000 Se Hatchback;(1982, USA);31.0 mpg;4;85;2,575;16.2
Dodge Aries Se;(1982, USA);29.0 mpg;4;84;2,525;16.0
Pontiac Phoenix;(1982, USA);27.0 mpg;4;90;2,735;18.0
Ford Fairmont Futura;(1982, USA);24.0 mpg;4;92;2,865;16.4
Amc Concord Dl;(1982, USA);23.0 mpg;4;-;3,035;20.5
Volkswagen Rabbit L;(1982, Europe);36.0 mpg;4;74;1,980;15.3
Mazda Glc Custom L;(1982, Japan);37.0 mpg;4;68;2,025;18.2
Mazda Glc Custom;(1982, Japan);31.0 mpg;4;68;1,970;17.6
Plymouth Horizon Miser;(1982, USA);38.0 mpg;4;63;2,125;14.7
Mercury Lynx L;(1982, USA);36.0 mpg;4;70;2,125;17.3
Nissan Stanza Xe;(1982, Japan);36.0 mpg;4;88;2,160;14.5
Honda Accord;(1982, Japan);36.0 mpg;4;75;2,205;14.5
Toyota Corolla;(1982, Japan);34.0 mpg;4;70;2,245;16.9
Honda Civic;(1982, Japan);38.0 mpg;4;67;1,965;15.0
Honda Civic (Auto);(1982, Japan);32.0 mpg;4;67;1,965;15.7
Datsun 310 Gx;(1982, Japan);38.0 mpg;4;67;1,995;16.2
Buick Century Limited;(1982, USA);25.0 mpg;6;110;2,945;16.4
Oldsmobile Cutlass Ciera (Diesel);(1982, USA);38.0 mpg;6;85;3,015;17.0
Chrysler Lebaron Medallion;(1982, USA);26.0 mpg;4;92;2,585;14.5
Ford Granada L;(1982, USA);22.0 mpg;6;112;2,835;14.7
Toyota Celica Gt;(1982, Japan);32.0 mpg;4;96;2,665;13.9
Dodge Charger 2.2;(1982, USA);36.0 mpg;4;84;2,370;13.0
Chevrolet Camaro;(1982, USA);27.0 mpg;4;90;2,950;17.3
Ford Mustang Gl;(1982, USA);27.0 mpg;4;86;2,790;15.6
Vw Pickup;(1982, Europe);44.0 mpg;4;52;2,130;24.6
Dodge Rampage;(1982, USA);32.0 mpg;4;84;2,295;11.6
Ford Ranger;(1982, USA);28.0 mpg;4;79;2,625;18.6
Chevy S-10;(1982, USA);31.0 mpg;4;82;2,720;19.4
